Countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
South Africa,33853.77942,34303.41083,35528.1892,37200.7109,39148.93804,40498.89918,41225.76464,43069.51024,43711.79891,44593.64942,45714.1756,46417.80887,45936.95172,46768.43349,48334.01676,47899.74972,47761.0138,46555.62839,46796.18313,47368.53472,49214.52817,50480.44662,48923.68725,46713.70425,47788.43589,45999.91002,44885.82129,44757.42007,45570.13256,45584.65462,44364.98524,42843.98243,40894.43853,40394.93109,40731.49336,41110.72132,42061.07662,42405.3121,41939.47841,42310.35287,43470.54113,44052.95538,45109.31994,45874.74707,47383.58242,49270.40494,51378.08611,53437.57692,54412.0045,52834.74689,53654.25213,54577.48851,54909.29185,55377.49503,55514.43185,55324.75167,54737.82897,54736.11077,54422.97632
Spain,5557.106526,6157.52337,6708.404369,7287.976494,7598.972337,7986.947912,8478.419538,8738.209046,9193.659557,9914.358165,10225.54638,10572.79846,11308.89711,12055.73958,12594.75993,12526.86201,12804.67932,13033.32698,13097.28521,12987.72274,13168.42293,13057.82299,13141.44648,13309.06755,13490.45645,13753.69967,14158.78455,14905.48527,15631.63462,16360.50886,16961.88319,17349.5173,17425.18117,17156.24819,17481.68624,17884.6316,18286.68103,18882.0844,19613.80346,20410.54179,21394.2001,22096.30101,22413.7842,22713.73527,23032.16109,23489.45912,24059.78613,24508.69676,24390.39941,23311.35299,23207.5357,22894.2502,22209.53923,21902.35981,22271.09202,23100.71872,23813.74804,24465.4825,25027.0157
St. Vincent and the Grenadines,4213.517419,4340.383843,4442.980886,4117.079978,4222.380186,4215.172478,4171.906609,3736.998303,3940.535968,4012.268891,4397.22569,4479.140025,5573.905289,4899.100149,4417.72782,4036.880893,4408.316096,4939.960894,5368.217566,5496.796344,5579.747683,5787.075465,5997.704506,6081.575585,6435.54964,6785.597012,7117.218715,7101.891658,8053.821647,8125.871037,8430.568744,8503.217785,9030.896711,9407.568984,9288.467696,10011.6092,10146.01208,10509.59729,10948.92441,11250.22829,11431.88136,11615.2128,12326.52248,13246.34437,13773.25088,14102.67369,15188.47638,15708.45482,15975.75305,15655.72229,15135.1762,15063.21873,15254.69636,15507.59739,15661.34919,15829.73461,16096.57938,16180.60229,16536.65532
Sudan,375.9078444,366.1957844,381.1543853,360.3460476,346.584529,359.8282049,337.2212339,332.2854116,329.0415941,323.888589,332.9749608,330.3462077,304.1949604,296.8168049,320.5452671,359.1843664,405.5683272,416.7924788,379.1754656,348.1796006,341.6596739,354.6882273,363.1274599,358.312585,329.5120385,299.501706,306.7622903,340.9695655,331.0546876,351.4528162,323.7801613,339.2164836,352.2899724,358.9231117,353.1521156,364.5539374,375.9466149,404.5974621,410.6800661,411.9458906,426.1256084,441.3721831,456.8116202,478.5791289,483.4640392,505.3892084,541.0176453,586.9397745,615.7475795,619.0001562,624.0855224,669.3670811,748.5444862,762.9175954,764.6898367,783.1256396,800.4979693,815.0265173,777.2920673
Suriname,6943.546572,7079.003124,7161.970779,7367.823342,7642.815322,8334.436482,9663.717756,10536.94687,11055.06617,11329.32577,11497.46618,11903.64678,11874.96675,11756.82965,11909.86312,12326.5348,13458.9648,14843.97111,15804.23049,15677.92658,14270.38989,15257.10654,14584.84161,13963.57074,13605.98545,13731.09372,13637.40138,12560.34169,13266.93615,13538.53279,12671.36255,12766.55101,12584.517,11539.04983,11737.36799,11558.16667,11508.04952,12004.7001,12129.3784,11816.83918,11922.45148,12276.43476,12472.15652,13102.83702,14051.3686,14513.60779,15178.19887,15768.44601,16234.02749,16532.42811,17188.56011,17988.37398,18265.29575,18593.39912,18439.35995,17623.39867,16474.06211,16587.32051,16757.20628
Sweden,130765.2163,137545.2125,142614.2106,149368.2828,158369.7371,162880.4332,164711.1797,168953.2886,174118.9379,181561.2785,191005.6159,191487.7806,195292.4922,202691.992,208568.4074,213044.8136,214517.4605,210344.8231,213406.8837,221118.6564,224421.579,225172.1274,227853.4216,232078.9976,241675.1515,246488.7746,252534.5838,260134.7327,265568.3244,270805.8396,270749.6225,265828.7071,261212.2451,254335.027,262856.7895,271992.9328,275685.505,283551.8978,295413.174,308427.0411,322545.4613,326742.1546,332439.3905,339020.3961,352246.7198,360722.7998,375556.7787,385486.9105,380364.7841,357542.4872,375749.2702,382913.9298,378957.104,380412.7988,386457.1788,399433.6685,405033.1731,408022.8801,412501.6393
Thailand,13777.3702,14090.80443,14708.77186,15415.81841,15981.29173,16777.31057,18093.8508,19077.01533,20026.16415,20721.17477,22423.21017,22852.55388,23162.02626,24833.00202,25254.92057,25837.52274,27562.9537,29574.77728,31896.27782,32893.55604,33884.98809,35179.73242,36363.17594,37691.28485,39141.01512,40226.21669,41688.48498,44839.40103,49922.59852,55124.03652,60428.19179,64826.93584,69365.93682,74411.34237,79628.29011,85237.23485,89062.33884,85590.19798,78108.43476,80744.35608,83465.75828,85543.48091,90052.44604,95807.66597,101135.3913,104692.8154,109232.0466,114525.8579,115891.2064,114512.6361,122515.3296,122952.739,131240.6487,134157.3842,134895.6066,138564.7349,142682.3704,147912.4982,153535.0514
Togo,154274.3331,171205.5708,175988.5991,182634.8357,204919.811,230152.9184,242524.5639,244637.5132,244998.8141,259641.3672,256051.7398,247834.7927,259384.2082,262817.4768,269290.2908,269702.5673,258383.5871,270435.2609,293564.4618,271398.5018,302029.3094,282518.8772,262745.68,239378.3018,243516.1561,248183.1213,243870.478,237440.2967,245728.4968,248677.5175,241778.6339,234574.77,220504.3076,183353.733,206139.8785,216754.5037,229261.4363,254206.4424,240505.95,238843.8874,230045.2246,220126.6928,212453.9229,217390.9349,216430.0768,213370.3911,216190.4638,215259.9192,218000.0723,223910.7255,231247.3109,239542.5491,248515.6427,256845.9612,265067.4972,273203.0362,279510.5748,284797.8333,291490.2522
Trinidad and Tobago,29664.92925,33170.32658,33513.34152,34895.52022,37114.27986,36997.80766,38185.46456,38711.96698,40487.54969,41309.49879,42399.42436,42375.19863,44250.7444,44348.18543,45367.69138,45380.47329,47619.64063,51258.11636,55624.49663,56813.32681,61785.60606,63602.87072,64956.15887,57341.30979,53248.12759,50391.02183,48199.24745,45570.74478,43434.99309,42765.39804,43117.19137,44170.26807,48330.30639,47739.28874,49208.62011,50892.80992,54378.54286,58362.66534,63011.9987,67948.07011,72452.82969,75207.20869,80821.47332,92035.60288,98846.98653,104467.7946,117715.8355,122757.2021,126342.2244,120200.4065,123520.075,122416.2651,123203.7375,124850.5249,122855.5612,124311.0857,115608.9482,112879.1055,113196.0524
Turkey,4458.776792,4402.229552,4536.935254,4831.220826,4974.865179,4994.978371,5424.660832,5548.351625,5785.739049,5880.592946,5927.850254,6109.92468,6408.15843,6460.91921,6662.71549,6975.815827,7530.650925,7613.15918,7556.320375,7342.530124,7002.895331,7177.750585,7266.02602,7457.410692,7785.827069,7947.600334,8336.142434,8953.198189,8993.287202,8859.617989,9513.730984,9421.709896,9734.907624,10312.37207,9675.494693,10273.16675,10857.38033,11496.46032,11578.26871,11013.85412,11568.22411,10717.1494,11239.40964,11700.19446,12652.18127,13610.83736,14397.59337,14942.55702,14889.80199,14009.70623,14987.4481,16399.83091,16907.02197,18034.50552,18646.22305,19454.17933,19748.57625,20883.18481,21102.30369
United Kingdom,8948.839808,9109.605488,9152.575522,9443.734631,9855.243363,10065.22968,10215.02627,10394.95954,10756.68367,10931.90889,11547.91582,11900.4742,12370.41267,13150.12016,12818.09531,12629.29218,12999.9145,13321.86948,13880.93956,14387.40627,14078.7914,13965.36427,14251.22321,14847.82651,15161.79565,15762.10737,16219.51064,17042.98321,17984.37956,18398.39737,18479.09787,18221.62679,18239.84078,18655.8622,19333.21783,19755.57508,20204.90322,21018.12849,21657.20038,22278.82908,22966.01511,23527.65943,24013.9114,24700.56128,25137.05594,25751.13392,26213.89819,26672.67141,26372.04551,25061.84466,25291.66696,25507.48915,25697.29793,26048.16946,26614.69622,27024.2177,27312.03068,27614.8686,27819.67263
United States,17550.57316,17659.05698,18450.30093,18986.88586,19811.02093,20817.04391,21915.58302,22220.19895,23055.41609,23538.97341,23207.21994,23670.34573,24649.84474,25794.12817,25421.36967,25120.23085,26223.37645,27161.42669,28362.7718,28939.63994,28589.67273,29028.9015,28235.08967,29260.58618,31107.55962,32118.75943,32925.22668,33761.17884,34853.48847,35793.8965,36059.30163,35542.14111,36287.32286,36797.79765,37813.75818,38369.16184,39356.0918,40614.40561,41942.70951,43434.69267,44726.9654,44728.59748,45087.36728,45980.51458,47287.59377,48499.81238,49405.7673,49856.28149,49319.47886,47648.81325,48466.82338,48862.42494,49596.42192,50161.07582,51015.13548,52099.26976,52534.36528,53356.23624,54541.72052
Uruguay,77155.8223,78063.42571,75884.10508,75112.18458,76071.6995,76035.60242,77548.8657,73973.77678,74700.8808,78508.01394,79918.00143,79476.75022,78339.60469,78536.93486,80754.24973,85493.67735,88508.12291,89306.44465,93491.52757,98602.78922,103659.2928,104586.2822,93766.16659,83589.37921,82103.7664,82774.69745,89498.47062,96052.18291,96867.199,97305.82333,96935.88505,99659.2937,106786.2666,108821.0253,115891.0498,113394.0803,118867.541,128129.0333,133069.0313,129819.5722,126864.5211,121777.2348,112342.2556,113327.7506,119077.386,127948.1198,133048.0619,141481.3355,151249.6419,157222.8686,169007.2973,177222.1081,182947.3286,190840.5306,196384.4056,196443.7935,199056.0433,203470.6458,206008.5607
"Venezuela, RB",1768.10585,1760.251306,1844.128736,1850.483213,1986.969618,2000.672381,1963.955691,1953.884319,2030.119261,1980.431601,2067.99812,2036.137109,2002.295206,2083.34658,2066.193398,2065.983176,2162.88013,2233.959075,2222.665666,2178.013571,2025.316963,1964.242892,1873.162751,1755.987843,1735.549485,1694.444852,1758.809298,1775.767918,1832.299451,1634.400188,1698.791809,1821.07519,1888.094582,1851.92581,1769.875214,1801.515657,1761.442143,1836.571635,1806.315194,1666.183232,1695.293357,1720.545683,1539.81999,1395.319452,1622.225704,1760.09618,1903.767734,2040.217803,2117.724337,2021.00909,1962.293521,2012.51476,2091.416251,2089.537383,1990.680321,1990.680321,1990.680321,1990.680321,1990.680321
Zambia,7175.047512,7057.710023,6678.61911,6693.023966,7286.90531,8244.663635,7549.665137,7898.896856,7750.570496,7474.723314,7583.384473,7330.993854,7742.67158,7413.594518,7627.333301,7206.096596,7400.568453,6829.40187,6640.274131,6225.5801,6200.061075,6361.219206,5974.601492,5661.873711,5457.875667,5368.509446,5238.030331,5213.420858,5376.467396,5170.42176,5006.845671,4877.698645,4677.176845,4876.724944,4348.948774,4363.362405,4514.052554,4560.305895,4418.92317,4499.42019,4551.182552,4669.32431,4755.413301,4956.895249,5170.48893,5401.687802,5676.714768,5988.788021,6280.754997,6669.558981,7145.084104,7318.27623,7633.721142,7772.040928,7886.94468,7872.067396,7926.173772,7957.540806,8022.408252
Zimbabwe,1061.18952,1091.133041,1070.021809,1098.879372,1050.489785,1065.517265,1046.141635,1096.559649,1081.491107,1175.596579,1392.391575,1464.591568,1531.521732,1516.923444,1562.308538,1481.307818,1440.431305,1299.585989,1224.842476,1224.519925,1354.089152,1470.6985,1455.83079,1425.78851,1348.364925,1390.795113,1370.187655,1338.377246,1392.407383,1420.848959,1479.554445,1525.062412,1359.627401,1350.109964,1452.666585,1435.967241,1566.823871,1593.358106,1626.235678,1602.615701,1545.905614,1562.579653,1419.986055,1175.910574,1104.14622,1036.192108,993.840257,949.6855398,774.0778925,856.9142828,1011.724134,1137.712694,1304.969802,1307.481883,1315.277064,1316.598339,1306.150257,1347.769416,1410.737597
