Countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ecuador,1817.33114,1857.117445,1893.764108,1879.037356,1960.824501,1967.070794,1903.953979,1934.403919,1914.3749,1946.012012,2020.114424,2086.039385,2128.709009,2357.668353,2549.305776,2751.74334,2875.755779,2844.370402,2927.929628,2958.551385,2989.499932,3077.006562,3017.971324,2932.755327,2935.259517,2975.840904,3003.944052,2923.828442,3022.040619,2980.250644,3017.71979,3074.631832,3068.252724,3058.768052,3118.871331,3120.304187,3107.081207,3174.211887,3211.52681,2999.406532,2975.005368,3038.510865,3107.932117,3138.539387,3339.615933,3457.966662,3550.270339,3567.836438,3732.208455,3692.714653,3762.615067,3996.689295,4159.36466,4300.254006,4394.814065,4328.558502,4203.115799,4227.236519,4210.450589
"Egypt, Arab Rep.",7386.06923,7559.130264,7643.721049,8225.576041,8932.821727,9129.076173,9342.765325,9177.4087,8803.294141,9042.217825,9324.160062,9483.194649,9558.915452,9681.240566,9620.547579,10251.89682,11355.97158,12100.01263,12842.79784,13111.82121,14077.56482,14740.71151,15795.8223,16178.12937,17295.7139,17818.18595,18168.00867,18360.24188,18852.56715,19278.65012,19882.79023,19654.84734,20099.17561,20262.96046,20649.01648,21178.41515,21791.8016,22531.46318,23317.70182,24247.456,25298.90998,25700.02372,25823.84456,26157.79902,26734.09386,27429.77386,28792.31849,30297.66703,31893.49366,32767.39864,33776.91783,33653.99103,33649.6296,33613.97531,33821.32421,34529.44878,35265.62077,35979.95338,37129.30827
Fiji,4494.509321,4495.315154,4498.191616,4623.816337,4695.966132,4436.943099,4321.121602,4781.867126,5047.064155,5068.754683,5593.468745,5854.274377,6162.551682,6738.014689,6775.397644,6678.893043,6733.983492,7003.552122,7004.26073,7706.21337,7418.869904,7698.075628,7050.922588,6601.618862,7002.606786,6573.57524,7015.368586,6522.763874,6574.657586,7047.500653,7415.534579,7148.322683,7491.989089,7545.213846,7819.750697,7913.780458,8198.893584,7934.057684,7962.660136,8597.337982,8402.175197,8539.483063,8798.347941,8877.413115,9327.525404,9350.015611,9451.143496,9277.509092,9271.639012,9054.488084,9255.005034,9465.39392,9581.00447,10028.34196,10579.95349,11045.66773,11288.83602,11805.09804,12310.83563
Finland,9208.020893,9838.582957,10063.30097,10320.66711,10801.07898,11335.99044,11561.5593,11748.51305,11965.27385,13120.74887,13873.03788,14182.10469,15188.48861,16157.20722,16593.04115,16817.71503,16824.83761,16818.02253,17259.43279,18441.44414,19374.89735,19542.2299,20033.01061,20535.49713,21082.57953,21737.35661,22257.53809,22984.42273,24111.68667,25247.10583,25305.27345,23678.9303,22763.42366,22487.15915,23272.45485,24159.17647,24961.10408,26442.87219,27804.41556,28972.75255,30541.85022,31258.81841,31707.12291,32262.33423,33431.76162,34243.75002,35495.91475,37177.80484,37271.81038,34026.66968,34884.90034,35616.24209,34941.63526,34517.36836,34157.75705,34215.88453,35063.39869,36045.80359,36577.95779
France,9849.506557,10255.70899,10788.27452,11206.59704,11779.96244,12197.27198,12702.62901,13181.46388,13635.52497,14479.41425,15089.2635,15766.01311,16345.63011,17247.24542,17859.97264,17577.30003,18245.45392,18791.6919,19459.24763,20067.39442,20293.88937,20411.38266,20814.38394,20958.00159,21156.7083,21379.72489,21755.99681,22186.21076,23107.70077,23981.16961,24557.12638,24677.3967,24947.71367,24683.69122,25171.94462,25609.55897,25879.62284,26390.72501,27237.2172,28024.55861,28925.35135,29285.23829,29403.17285,29435.83205,30046.73866,30317.08806,30843.85474,31396.88302,31301.50854,30246.10393,30683.76895,31205.27953,31151.85207,31170.51381,31317.94099,31534.63667,31753.06153,32468.13443,32967.96938
Gabon,1258990.962,1430989.311,1521082.742,1594132.888,1643509.084,1752206.971,1798319.35,1835329.913,1842444.716,1950412.945,2077727.479,2247778.968,2457233.41,2658690.707,3639459.465,4252168.275,5646114.625,4827309.216,3582560.304,3514689.904,3517375.116,3605420.033,3405777.04,3504432.783,3669053.937,3488171.794,3366763.1,2713463.149,2978172.509,3144328.379,3217793.888,3322469.601,3133744.616,3171383.013,3203647.525,3277158.667,3310493.471,3413411.633,3445416.785,3061787.742,2932458.276,2924498.59,2848578.182,2842783.038,2790831.699,2789780.647,2636398.331,2714281.497,2545040.409,2466513.842,2551593.986,2634421.378,2669675.559,2715618.486,2732451.583,2745337.011,2718740.187,2656438.196,2619788.904
Ghana,3033.970391,3040.395042,3065.214992,3100.252034,3074.26473,3029.779767,2827.000602,2845.366759,2791.012557,2889.80344,3092.578181,3167.678019,3003.072166,3003.80335,3125.506933,2672.041674,2523.825235,2532.481117,2696.598784,2576.461534,2529.89328,2378.416512,2151.458352,1992.399365,2099.767476,2141.438171,2187.539697,2226.934822,2285.647296,2333.890991,2343.043103,2396.384502,2418.427842,2464.337333,2475.737344,2509.016127,2557.095331,2597.974017,2653.680788,2703.406207,2735.59664,2776.177587,2830.971806,2905.857616,2993.282379,3091.081769,3205.960086,3260.112243,3467.817398,3544.492556,3730.553472,4152.68225,4432.30575,4647.161503,4673.467789,4668.143459,4721.810645,4994.190721,5191.894111
Greece,5119.119291,5644.940655,5697.4614,6251.729019,6743.520833,7342.489151,7733.030686,8090.750852,8573.969023,9388.398903,10111.79465,10857.47147,11883.11073,12786.5371,11919.34316,12559.77625,13213.52293,13426.30058,14213.78965,14498.41476,14453.91923,14102.33327,13856.91707,13627.94507,13832.86462,14125.05552,14151.29113,13785.46276,14324.44366,14791.38179,14635.74201,14909.40615,14899.52131,14575.13631,14792.38731,15032.58982,15394.85164,16006.03987,16537.55235,16980.44449,17574.00673,18205.20403,18850.14574,19894.88884,20850.1178,20913.62062,22029.48815,22692.79252,22556.77423,21529.96342,20324.11804,18495.36304,17238.074,16800.69949,17038.10314,17075.63952,17114.06501,17406.04089,17787.41238
Guatemala,7053.548551,7143.998434,7184.392022,7645.072212,7770.934249,7878.104781,8074.519928,8166.354649,8629.704017,8783.981043,9027.237045,9269.63894,9679.639866,10060.26475,10421.33523,10352.0374,10837.99886,11397.15079,11676.02126,11930.02231,12077.23488,11857.38839,11157.3837,10603.5405,10397.28524,10086.66671,9863.43644,9975.962831,10125.78492,10283.24278,10358.11349,10488.56796,10740.89175,10904.20866,11083.54201,11368.05976,11442.45594,11677.52436,11989.88648,12173.7387,12327.76503,12325.24206,12504.12219,12521.47755,12616.95552,12730.72654,13114.20054,13632.2946,13771.88136,13544.70609,13634.18323,13899.17191,14010.19864,14225.44494,14514.51818,14809.26919,14962.84684,15074.19295,15248.20518
Guyana,256744.2328,260822.6034,256305.5417,218951.7463,237988.1093,257415.216,265728.5691,272536.1843,271206.1698,286171.9091,294460.7629,299904.322,286635.4302,287035.2841,305822.2006,328209.2708,329603.2898,317402.9439,308553.4482,300497.8475,304180.2997,308107.7434,267634.3049,250191.475,238752.9659,246000.3505,245694.7818,250194.9221,243139.5677,232752.3107,226303.4916,239637.0673,256803.8969,275756.425,297411.0882,311392.4447,336384.4881,358506.5023,354447.0952,366937.0833,363367.0084,372402.6085,376831.4069,374271.091,379819.4882,372196.7548,391194.6249,418581.6106,426659.4444,441282.6761,458491.4522,480653.6459,503756.293,526239.8177,543552.3592,557781.0151,573338.7264,582354.7965,599477.8663
